Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","41","China, mainland","8","Antigua and Barbuda","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2010","2010","1000 US$","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","9","Argentina","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1989","1989","1000 US$","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","10","Australia","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1987","1987","1000 US$","38","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","10","Australia","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1988","1988","1000 US$","43","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","10","Australia","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1989","1989","1000 US$","155","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","10","Australia","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1990","1990","1000 US$","144","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","10","Australia","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1991","1991","1000 US$","338","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","10","Australia","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1992","1992","1000 US$","242","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","10","Australia","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1993","1993","1000 US$","184","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","10","Australia","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1994","1994","1000 US$","213","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","10","Australia","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1995","1995","1000 US$","40","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","10","Australia","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1996","1996","1000 US$","45","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","10","Australia","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1997","1997","1000 US$","9","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","10","Australia","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1998","1998","1000 US$","19","A","Aggregate, may include official, semi-official, estimated or calculated data"
